,store_location,cinemarks_county,cinemarks_state
279,"4401 N. I, H-35 Round Rock, TX 78664",williamson county,Texas
280,"4425 Sherwood Way, San Angelo, TX 76904",tom green county,Texas
281,"5063 N., W. Loop 410 San Antonio, TX 78229",walker county,Texas
282,"4224 S. New Braunfels Ave., San Antonio, TX 78223",bexar county,Texas
283,"3310 Town Center Street, Sherman, TX 75091",grayson county,Texas
284,"21440 Kuykendahl Road, Spring, TX 77379",harris county,Texas
285,"2900 West Washington Street, Stephenville, TX 76401",erath county,Texas
286,"4501 S. General Bruce Dr., Temple, TX 76502",bell county,Texas
287,"4230 St. Michael Drive, Texarkana, TX 75503",bowie county,Texas
288,"Lowry Expressway, Texas City, TX 77591",galveston county,Texas
289,"1600 Lake Robbins, The Woodlands, TX 77380",montgomery county,Texas
290,"9595 Six Pines Drive, The Woodlands, TX 77380",montgomery county,Texas
291,"7806 Navarro, Victoria, TX 77904",victoria county,Texas
292,"20915 Gulf Freeway, Webster, TX 77598",harris county,Texas
293,"2113 West Expressway 83, Weslaco, TX 78596",hidalgo county,Texas
294,"2915 Glenwood Avenue, Wichita Falls, TX 76308",wichita county,Texas
295,"715 West 180 North, American Fork, UT 84003",utah county,Utah
296,"12129 South State Street, Draper, UT 84020",salt lake county,Utah
297,"900 W Clark Ln, Farmington, UT 84025",davis county,Utah
298,"720 West 1500 North, Layton, UT 84041",davis county,Utah
299,"3651 Wall Avenue, Newgate Mall, Ogden, UT 84405",weber county,Utah
300,"1010 South 800 East, Orem, UT 84097",utah county,Utah
301,"1200 Towne Centre Blvd., Provo, UT 84601",utah county,Utah
302,"2227 S. Highland Dr., Salt Lake City, UT 84106",salt lake county,Utah
303,"125 East 3300 South, Salt Lake City, UT 84115",salt lake county,Utah
304,"7670 S. Union Park Ave., Sandy, UT 84047",salt lake county,Utah
305,"9539 So. 700 E., Sandy, UT 84070",salt lake county,Utah
306,"595 East Commerce Way, Spanish Fork, UT 84660",utah county,Utah
307,"206 South 625 West, West Bountiful, UT 84010",davis county,Utah
308,"7301 South Jordan Landing Blvd., West Jordan, UT 84084",salt lake county,Utah
309,"5412 West High Market Drive, West Valley, UT 84120",salt lake county,Utah
310,"6201 Multiplex Dr, Centreville, VA 20121",fairfax county,Virginia
311,"2413 Chesapeake Square Ring Rd., Chesapeake, VA 23321",chesapeake county,Virginia
312,"11900 Palace Way, Fairfax, VA 22030",fairfax county,Virginia
313,"11810 Fountain Way, Newport News, VA 23606",newport news city,Virginia
314,"E Bellevue, WA 98004",king county,Washington
315,"Federal Way, WA 98003",king county,Washington
316,"Olympia, WA 98502",thurston county,Washington
317,"5057 Main Street, Tacoma, WA 98407",pierce county,Washington
318,"1325 W. Poplar, Walla Walla, WA 99362",walla walla county,Washington
319,"7101 70th Court, Kenosha, WI 53142",kenosha county,Wisconsin
320,"Barboursville, WV 25504",cabell county,West Virginia
321,"2399 Meadowbrook Rd., Bridgeport, WV 26330",harrison county,West Virginia
