,store_location,trader_joes_county,trader_joes_state
313,"1200 16th St SW, Rochester, MN 55902",olmsted county,Minnesota
314,"1041 Red Fox Rd, Shoreview, MN 55126",ramsey county,Minnesota
315,"4500 Excelsior Blvd, St. Louis Park, MN 55416",hennepin county,Minnesota
316,"484 Lexington Parkway S, St. Paul, MN 55105",ramsey county,Minnesota
317,"8960 Hudson Rd, Woodbury, MN 55125",washington county,Minnesota
318,"48 Brentwood Promenade Crt, Brentwood, MO 63144",saint louis county,Missouri
319,"1679 Clarkson Rd, Chesterfield, MO 63017",saint louis county,Missouri
320,"11505 Olive Blvd, Creve Coeur, MO 63141",saint louis county,Missouri
321,"13343 Manchester Rd, Des Peres, MO 63131",saint louis county,Missouri
322,"8600 Ward Pkwy, Kansas City, MO 64114",jackson county,Missouri
323,"3120 Pine Lake Rd, Lincoln, NE 68516",lancaster county,Nebraska
324,"10305 Pacific St, Omaha, NE 68114",douglas county,Nebraska
325,"10345 South Eastern Ave, Henderson, NV 89052",clark county,Nevada
326,"3790 US Hwy 395 S, Carson City, NV 89705",douglas county,Nevada
327,"2716 N Green Valley Pkwy, Henderson, NV 89014",clark county,Nevada
328,"5639 Centennial Ctr Blvd, Las Vegas, NV 89149",clark county,Nevada
329,"7575 W Washington Ave, Las Vegas, NV 89128",clark county,Nevada
330,"2315 Summa Dr, Las Vegas, NV 89135",clark county,Nevada
331,"5035 S McCarran Blvd, Reno, NV 89502",washoe county,Nevada
332,"262 Daniel Webster HWY, Nashua, NH 03060",hillsborough county,New Hampshire
333,"45 Gosling Rd, Newington, NH 03801",rockingham county,New Hampshire
334,"259 Allwood Rd, Clifton, NJ 07012",passaic county,New Jersey
335,"715 River Rd, Edgewater, NJ 07020",bergen county,New Jersey
336,"176 Columbia Turnpike, Florham Park, NJ 07932",morris county,New Jersey
337,"1350 Willow Ave, Hoboken, NJ 07030",hudson county,New Jersey
338,"300 P Route 73 S, Marlton, NJ 08053",burlington county,New Jersey
339,"187 Millburn Ave, Millburn, NJ 07041",essex county,New Jersey
340,"869 US-1, North Brunswick, NJ 08902",middlesex county,New Jersey
341,"404 Rt 17 N, Paramus, NJ 07652",bergen county,New Jersey
342,"3528 US 1 (Brunswick Pike), Princeton, NJ 08540",middlesex county,New Jersey
343,"1031 Broad St, Shrewsbury, NJ 07702",monmouth county,New Jersey
344,"1172 Hamburg Turnpike, Wayne, NJ 07470",passaic county,New Jersey
345,"155 Elm St, Westfield, NJ 07090",union county,New Jersey
346,"20 Irvington St, Westwood, NJ 07675",bergen county,New Jersey
347,"8928 Holly Ave NE, Albuquerque, NM 87122",bernalillo county,Nebraska
348,"2200 Uptown Loop NE, Albuquerque, NM 87110",bernalillo county,Nebraska
349,"530 W Cordova Rd, Santa Fe, NM 87505",santa fe county,New Mexico
350,"1565 Niagara Falls Blvd, Buffalo, NY 14228",erie county,New York
351,"130 Court St, Brooklyn, NY 11201",kings county,New York
352,"445 Gold St, Brooklyn, NY 11201",kings county,New York
353,"79 Wolf Rd, Colonie, NY 12205",albany county,New York
354,"5900 Jericho Turnpike, Commack, NY 11725",suffolk county,New York
355,"215 North Central Ave, Hartsdale, NY 10530",westchester county,New York
356,"1280 W Broadway, Hewlett, NY 11557",nassau county,New York
357,"2085 Smith Haven Plaza, Lake Grove, NY 11755",suffolk county,New York
358,"1260 Boston Post Rd, Larchmont, NY 10538",westchester county,New York
359,"1714 Merrick Rd, Merrick, NY 11566",nassau county,New York
360,"2073 Broadway, New York, NY 10023",new york county,New York
361,"200 E 32nd St, New York, NY 10016",new york county,New York
362,"670 Columbus Ave, New York, NY 10025",new york county,New York
363,"675 6th Ave, New York, NY 10010",new york county,New York
364,"233 Spring Street, New York, NY 10013",new york county,New York
365,"142 E 14th St, New York, NY 10003",new york county,New York
366,"138 E 14th St, New York, NY 10003",new york county,New York
367,"3418 Long Beach Rd, Oceanside, NY 11572",nassau county,New York
368,"425 S Oyster Bay Rd, Plainview, NY 11803",nassau county,New York
369,"90-30 Metropolitan Ave, Queens, NY 11374",queens county,New York
370,"3349 Monroe Ave, Rochester, NY 14618",monroe county,New York
371,"727 White Plains Rd, Scarsdale, NY 10583",westchester county,New York
372,"2385 Richmond Ave, Staten Island, NY 10314",richmond county,New York
373,"3422 Erie Blvd E, Syracuse, NY 13214",onondaga county,New York
374,"910 Old Country Rd, Garden City, NY 11530",nassau county,New York
375,"120 Merrimon Ave, Asheville, NC 28801",buncombe county,North Carolina
376,"1393 Kildaire Farms Rd, Cary, NC 27511",wake county,North Carolina
377,"1800 E Franklin St, Chapel Hill, NC 27514",orange county,North Carolina
378,"1133 Metropolitan Ave, Charlotte, NC 28204",mecklenburg county,North Carolina
379,"1820 East Arbors Dr, Charlotte, NC 28262",mecklenburg county,North Carolina
380,"6418 Rea Rd, Charlotte, NC 28277",mecklenburg county,North Carolina
381,"3000 Wake Forest Rd, Raleigh, NC 27609",wake county,North Carolina
382,"1437 S College Rd, Wilmington, NC 28403",new hanover county,North Carolina
383,"252 South Stratford Rd, Winston Salem, NC 27103",forsyth county,North Carolina
